activation,learning_rate,depth,hidden,final_loss,train_accuracy,test_accuracy,note
relu,0.5,1,32,0.00076,1.0,0.9822,
relu,0.5,2,32x32,0.00017,1.0,0.9778,
relu,0.5,3,32x32x32,diverged,,,weights overflowed
relu,0.5,4,32x32x32x32,9e-05,1.0,0.9867,
sigmoid,0.5,1,32,0.01007,1.0,0.9844,
sigmoid,0.5,2,32x32,0.00842,1.0,0.9733,
sigmoid,0.5,3,32x32x32,0.00645,1.0,0.9689,
sigmoid,0.5,4,32x32x32x32,0.00623,1.0,0.96,
tanh,0.5,1,32,0.002,1.0,0.98,
tanh,0.5,2,32x32,0.0009,1.0,0.9822,
tanh,0.5,3,32x32x32,0.00065,1.0,0.9756,
tanh,0.5,4,32x32x32x32,0.00047,1.0,0.9756,
relu,0.05,1,32,0.01724,1.0,0.98,
relu,0.05,2,32x32,0.00562,1.0,0.98,
relu,0.05,3,32x32x32,0.00221,1.0,0.9756,
relu,0.05,4,32x32x32x32,0.00115,1.0,0.9667,
sigmoid,0.05,1,32,0.13485,0.9785,0.98,
sigmoid,0.05,2,32x32,0.21731,0.9681,0.9578,
sigmoid,0.05,3,32x32x32,0.49551,0.8938,0.9044,
sigmoid,0.05,4,32x32x32x32,1.46203,0.6466,0.6578,
tanh,0.05,1,32,0.03219,0.9993,0.9822,
tanh,0.05,2,32x32,0.01746,1.0,0.9733,
tanh,0.05,3,32x32x32,0.01088,1.0,0.98,
tanh,0.05,4,32x32x32x32,0.0074,1.0,0.9756,
