seed,leaked_accuracy,clean_accuracy,inflation
0,0.97183,0.97183,0.0
1,0.97183,0.97183,0.0
2,0.96479,0.96479,0.0
3,0.93662,0.94366,-0.00704
4,0.96479,0.96479,0.0
5,0.95775,0.95775,0.0
6,0.97183,0.97183,0.0
7,0.97183,0.97183,0.0
8,0.96479,0.96479,0.0
9,0.97183,0.97183,0.0
10,0.97183,0.97887,-0.00704
11,0.97183,0.97183,0.0
12,0.97887,0.97887,0.0
13,0.96479,0.96479,0.0
14,0.97887,0.97183,0.00704
15,0.97183,0.96479,0.00704
16,0.95775,0.95775,0.0
17,0.94366,0.94366,0.0
18,0.98592,0.98592,0.0
19,0.97183,0.97183,0.0
