epoch,loss
1,2.176087
2,1.098687
3,0.632579
4,0.436709
5,0.313555
6,0.244924
7,0.201883
8,0.170853
9,0.143894
10,0.124510
11,0.110123
12,0.105992
13,0.090702
14,0.079292
15,0.073896
16,0.065472
17,0.059194
18,0.054946
19,0.049859
20,0.046977
21,0.043738
22,0.039432
23,0.036715
24,0.033598
25,0.032560
26,0.029519
27,0.027158
28,0.026195
29,0.023698
30,0.022240
31,0.020823
32,0.019811
33,0.018703
34,0.017845
35,0.016572
36,0.016101
37,0.014525
38,0.013728
39,0.013330
40,0.012132
41,0.012023
42,0.011069
43,0.010439
44,0.010162
45,0.009335
46,0.009017
47,0.008391
48,0.008439
49,0.007867
50,0.007413
51,0.007551
52,0.006725
53,0.006348
54,0.006034
55,0.006192
56,0.005534
57,0.005321
58,0.005099
59,0.004856
60,0.004683
