epoch,loss
1,0.774902
2,0.127624
3,0.068250
4,0.034929
5,0.029834
6,0.016519
7,0.011217
8,0.009466
9,0.007657
10,0.006157
11,0.005326
12,0.005074
13,0.004495
14,0.003859
15,0.003684
16,0.003292
17,0.002970
18,0.002776
19,0.002521
20,0.002444
21,0.002338
22,0.002140
23,0.002039
24,0.001905
25,0.001934
26,0.001758
27,0.001649
28,0.001612
29,0.001507
30,0.001450
31,0.001400
32,0.001373
33,0.001324
34,0.001289
35,0.001239
36,0.001254
37,0.001132
38,0.001101
39,0.001113
40,0.001026
41,0.001021
42,0.000973
43,0.000949
44,0.000958
45,0.000898
46,0.000887
47,0.000848
48,0.000881
49,0.000850
50,0.000802
51,0.000867
52,0.000773
53,0.000742
54,0.000723
55,0.000756
56,0.000692
57,0.000680
58,0.000670
59,0.000654
60,0.000642
