epoch,loss
1,0.575382
2,0.122168
3,0.060686
4,0.036554
5,0.031388
6,0.017527
7,0.013523
8,0.010189
9,0.008237
10,0.006857
11,0.005911
12,0.005528
13,0.004841
14,0.004283
15,0.004000
16,0.003570
17,0.003182
18,0.002955
19,0.002741
20,0.002636
21,0.002509
22,0.002279
23,0.002169
24,0.002022
25,0.002025
26,0.001845
27,0.001754
28,0.001702
29,0.001601
30,0.001536
31,0.001479
32,0.001453
33,0.001399
34,0.001364
35,0.001318
36,0.001346
37,0.001198
38,0.001167
39,0.001164
40,0.001082
41,0.001085
42,0.001030
43,0.000998
44,0.001006
45,0.000946
46,0.000932
47,0.000892
48,0.000929
49,0.000893
50,0.000838
51,0.000916
52,0.000812
53,0.000778
54,0.000758
55,0.000792
56,0.000728
57,0.000712
58,0.000699
59,0.000685
60,0.000672
